supplement,evidence,condition,sub_condition,type,popularity,notes,source names,link
abatacept,4,musculoskeletal,osteoarthritis,hormone,"87,500",Appears to reduce joint pain and improve function.,Cochrane,http://www.cochrane.org/CD007277/MUSKEL_abatacept-for-rheumatoid-arthritis
agnus castus,5,women,PMS,plant / herb,"160,000",Helps improve PMS symptoms.,"Archives of Gynecology and Obstetrics; The European Menopause Journal, Archives of Women's Mental Health, American Journal of Obstetrics and Gynecology, Electronic Physician",https://www.sciencedirect.com/science/article/pii/S0002937817303198
aloe vera,0,digestion,digestive aid,plant / herb,"11,800,000","HARMFUL. Never eat. Ingestion can causes diarrhea, electrolyte imbalance and kidney disfunction.",Journal of Environmental Science and Health,http://www.tandfonline.com/doi/abs/10.1080/10590500600614303#.VcDwRZNVhBc
aloe vera,1,general health,"burns, cuts",plant / herb,"18,800,000",No high quality evidence to support aloe vera for treatment of wounds.,Cochrane,https://www.cochrane.org/CD008762/WOUNDS_aloe-vera-for-treating-acute-and-chronic-wounds
aloe vera,2,diabetes,diabetes,plant / herb,"27,800,000",One study found diabetes patients with high blood levels of fat (dyslipidemia) benefited from one 300mg capsule every 12 hours for 2 months.,Planta Medica,http://www.omni.org.il/_Uploads/dbsAttachedFiles/Research1.Antihyperglycemic.pdf
andrographis,1,infections,respiratory tract infections,plant / herb,"154,000",Slight evidence of reduced symptoms.,Otolaryngologic Clinics of North America,http://www.sciencedirect.com/science/article/pii/S0030666512002149
antioxidants,3,"sexual health, men, children",infertility in men,compound,"1,900,000",Evidence of anti-oxidants as treatment for male infertility is inconclusive.,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007411.pub3/abstract
antioxidants,0,general health,mortality,compound,"7,330,000","Taking antixoxidants have no health benefits. In fact, beta carotene, vitamin A and vitamin E appear to increase the risk of death.",Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007176.pub2/abstract
ashwagandha,4,mental health,anxiety & stress,plant / herb,"1,130,000",A review of 5 human trials concludes Ashwagandha reduces anxiety & stress. The review calls for more trials. ,The Journal of Alternative and Complementary Medicine,http://online.liebertpub.com/doi/abs/10.1089/acm.2014.0177
ashwagandha,2,sexual health,erectile dysfunction,plant / herb,"634,000","In a single pilot study on 46 men with low-sperm count, ashwagandha supplementation appeared to increase sperm count  & volume. ",Evidence-based complimentary & alternative medicine,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/963/CN-00977963/frame.html
ashwagandha,2,musculoskeletal,rheumatoid arthritis ,plant / herb,"407,000",No solid evidence.,Indian Journal of Medical Research,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/011/CN-01197011/frame.html
astaxanthin,1,general health,oxidative stress,compound,"261,000",No human trials yet. ,"Cochrane, PLoS One",http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/581/CN-00909581/frame.html
astragalus,2,general health,"dna damage, immune system",plant / herb,"740,000",Limited studies suggest a stengthening of  the immune system. More evidence needed.,"Block, Mead (2003)",http://www.ncbi.nlm.nih.gov/pubmed/15035888
astragalus,3,general health,chronic kidney disease,plant / herb,"354,000",Low quality evidence for patients with chronic kidney disease when combined with conventional treatments. ,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008369.pub2/abstract
bee pollen,1,cancer,cancer ,other,"3,730,000",No evidence,European Journal of Medicinal Chemistry,http://www.ncbi.nlm.nih.gov/pubmed/20598400
benfotiamine ,3,"diabetes, general health","anti-aging, diabetes ",compound,"311,000",A study of high-dose benfotiamine (300 mg/day) supplementation over 24 months showed no significant effects.,Cochrane,http://www.cochrane.org/CD009403/RENAL_vitamin-b-and-its-derivatives-for-diabetic-kidney-disease
beta-carotene,1,cancer,cancer,vitamin,"5,410,000",There is no evidence that beta-carotene prevents cancer.,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18689373
beta glucans,1,cancer,cancer,compound,"280,000","Compounds found in brewers' yeast and mushrooms. Most studies so far have been done in animals or test tubes, rather than on human subjects. Trials on human subjects are needed. ",Evidence-Based Complementary and Alternative Medicine,http://www.hindawi.com/journals/ecam/2014/252171/
beta glucans,2,"infections, respiratory","colds, immune system",compound,"558,000",Reduced number of colds by 25% and severity of symptoms by 15%. Might increase the body's ability to fend off infections.,Molecular Nutrition and Food Research,http://onlinelibrary.wiley.com/doi/10.1002/mnfr.201300338/full
bitter melon,1,diabetes,diabetes,plant / herb,"1,150,000",Not enough evidence to support using bitter melon in diabetes treament.,Cochrane,http://www.cochrane.org/CD007845/ENDOC_momordica-charantia-for-type-2-diabetes-mellitus
black cohosh,2,women,menopause,plant / herb,"530,000",Insufficient evidence to claim that black cohosh improves menopause symptoms. ,Cochrane,http://www.cochrane.org/CD007244/MENSTR_black-cohosh-cimicifuga-spp.-for-menopausal-symptoms
black tea,1,cancer,cancer prevention,plant / herb,"151,000,000",Reviews have found no association between black tea and ovarian or breast cancer risk.,Nutrition and Cancer,http://www.tandfonline.com/doi/abs/10.1080/01635581.2014.936947#.Va-yTBNVhBc
borage seed oil,4,musculoskeletal,rheumatoid arthritis,plant / herb,"93,300","Improves pain and function, and probably has no adverse effects. ",Cochrane,http://www.cochrane.org/CD002948/MUSKEL_herbal-therapy-for-rheumatoid-arthritis
borage seed oil,1,eye & skin,eczema,plant / herb,"1,420,000",A review of 27 studies found no evidence of efficacy.,Cochrane,https://www.cochrane.org/CD004416/SKIN_oral-evening-primrose-oil-and-borage-oil-eczema
bromelain,3,musculoskeletal,arthritis,enzyme,"571,000",Bromelain reduces arthritis symptoms. More research into dosage and side effects required. ,"Annals of Internal Medicine
Common Knowledge",http://commons.pacificu.edu/pa/475/
butterbur,2,pain,migraines,plant / herb,"59,700",Butterbur extract may lower the frequency and severity of migraines.,Neurology,http://www.neurology.org/content/78/17/1346.short
caffeine,5,cognition,memory,compound,"34,200,000",Enhances consolidation of long term memories. Improves memory in young adults during their non-optimal time of day (mornings). ,"Borota et al 2014, Frontiers in Psychology",http://www.ncbi.nlm.nih.gov/pubmed/24413697
